nest.id,nest,area,year,no.eggs,no.nestlings,prop.hatched,no.fledged,prop.fledged,clutch_initiation_date,clutch_initiation_day,box,cover
N0316,43,4A2,2015,2,2,1,1,0.5,27/05/2015,147,Yes,NA
N0317,R02,4A1,2015,2,2,1,2,1,27/05/2015,147,No,NA
N0318,50,4A2,2015,2,2,1,2,1,27/05/2015,147,Yes,NA
N0319,60,4A2,2015,2,2,1,2,1,27/05/2015,147,Yes,NA
N0320,123,4B1,2015,2,2,1,2,1,27/05/2015,147,Yes,NA
N0321,318,4B2,2015,2,2,1,2,1,27/05/2015,147,Yes,NA
N0322,101,4B1,2015,1,1,1,0,0,27/05/2015,147,Yes,NA
N0323,29,4A1,2015,1,1,1,1,1,27/05/2015,147,Yes,NA
N0324,53,4A2,2015,1,1,1,1,1,27/05/2015,147,Yes,NA
N0325,64,4A2,2015,1,1,1,1,1,27/05/2015,147,Yes,NA
N0326,199,6SUT,2015,1,1,1,1,1,27/05/2015,147,Yes,NA
N0327,209,6SUT,2015,2,1,0.5,1,1,27/05/2015,147,Yes,NA
N0328,14,4A1,2015,2,2,1,NA,NA,27/05/2015,147,Yes,NA
N0329,40,4A1,2015,2,2,1,1,0.5,28/05/2015,148,Yes,NA
N0330,32,4A1,2015,2,2,1,2,1,28/05/2015,148,Yes,NA
N0331,36,4A1,2015,2,2,1,2,1,28/05/2015,148,Yes,NA
N0332,46,4A2,2015,2,2,1,2,1,28/05/2015,148,Yes,NA
N0333,127,4B1,2015,2,2,1,2,1,28/05/2015,148,Yes,NA
N0334,313,4B2,2015,2,2,1,2,1,28/05/2015,148,Yes,NA
N0335,188,6SMID,2015,2,2,1,2,1,28/05/2015,148,Yes,NA
N0336,125,4B1,2015,4,3,0.75,2,0.666666667,28/05/2015,148,Yes,NA
N0337,25,4A1,2015,1,1,1,1,1,28/05/2015,148,Yes,NA
N0338,63,4A2,2015,1,1,1,1,1,28/05/2015,148,Yes,NA
N0339,R03,4B2,2015,1,1,1,1,1,28/05/2015,148,No,NA
N0340,135,G1E,2015,1,1,1,1,1,28/05/2015,148,Yes,NA
N0341,282,G1E,2015,1,1,1,1,1,28/05/2015,148,Yes,NA
N0342,23,4A1,2015,2,2,1,NA,NA,28/05/2015,148,Yes,NA
